"summary","type"
"""And"" step fails when used in composite steps Hey guys,

Im using JBehave with Java v3.7.5

I have noticed that if we use ""And"" in a composite step then it tries to match it with an @And annotation

For example, consider the following scenario

{code:java}

   @Given(""I execute step one"")
   public void execute_step_one() {
      ...
   }

   @Given(""I execute step two"")
   public void execute step two() {
      ...
   }

   @Given(""I execute step one and two"")
   @Composite(steps = {
      ""Given I execute step one"",
      ""And I execute step two""
   })
   public void execute_step_one_and_two() {
      
   }
{code}


Would fail because it tries to match the composite ""And I execute step two"" with an @And annotation

If I change the composite to ""Given I execute step two"" - it works

Could someone confirm that this is an issue in the latest version? I will try to fix it if it is

As I understand, an ""And"" should match with the previous step i.e. if an ""And"" follows a ""Given"", then it should match with a ""Given"". If it follows a ""When"", then it should match a ""When""

Thanks!
Ben","non-feature containing"
"'And' Step (AndStep) ignores CandidateStep step type On http://jbehave.org/reference/latest/concepts.html it states: 

""A step starting with And assumes the same meaning of the previous step"" 

but this clearly isn't the case in practise, nor does it even require any preceeding step type to be defined. For example with: 

public class Steps extends org.jbehave.scenario.steps.Steps { 
@When(""the wind blows"") 
public void theWindBlows() { System.err.println(""when it blows then boom""); } 
@Given(""the wind blows"") 
public void theWindBlows2() { System.err.println(""given it blows then boom""); } 
} 

Scenario: Test 
And the wind blows 
Given the wind blows 
And the wind blows 
When the wind blows 
And the wind blows 

Outputs: 

when it blows then boom 
given it blows then boom 
when it blows then boom 
when it blows then boom 
when it blows then boom 


Obviously you wouldn't intend to start your scenario with an AndStep, but it's easy enough to get there (or produce one of the other problems) if you are copying/editing scenarios. I think it would be better if AndSteps assume the meaning of the previous step, as intended(?) according to the web documentation.","non-feature containing"
"'Story Navigator' does not show stories with no meta information on story level I have stories with no meta information on story level. In other words - some of my stories begins with just: 
{color:blue}{{Meta:}}{color} 
{color:blue}{{Narrative:}}{color} 

Unfortunately I don't see those stories in 'Story Navigator', even if 'Meta' filter is set to 'All'. I think that they should be visible there.","non-feature containing"
"0.0 gets parsed as a Long When defining a step that takes a List<Double>, inputs such as 1.0, 1.5, etc. work fine. But 0.0 throws a ClassCastException due to jbehave parsing it as a Long. It should be parsed as a double.","non-feature containing"
"@(Before|After)Scenario should by default apply to both scenarios parametrized by example table and not JBEHAVE-1008 introduced ScenarioType.ANY. 

As per title, I think it should not matter whether we are running through an example table or not. 

ANY should be the default value for uponType of BeforeScenario and AfterScenario. 

{code} 
public @interface BeforeScenario { 
ScenarioType uponType() default ScenarioType.ANY; 
{code} 

In fact, from a domain point of view, there is no difference between a scenario with example table and one without. Is there? They're both *scenarios*. 
A scenario with example table is just a scenario template that at run-time will result in many scenarios actually being run, isn't it? 

{quote} 
But in this case, the name of the enum starts to feel bad 
{quote} 
As Daniel pointed out, the name is currently misleading. 
I found myself wondering what was wrong once I set up a JBehave project with an @BeforeScenario (didn't explicitly specify uponType), and sometimes it worked, sometimes it didn't (depending on which story I was running, with or without example table). 

If you agree on this, I will then submit a PR. 
Thanks","non-feature containing"
"@AfterScenario should execute in reverse order to @BeforeScenario Consider WebDriver situations, where the order below is nearly always going to be the case: 

new PerStoriesWebDriverSteps(..), 
new PerStoriesContextView(..), 
new WebDriverScreenshotOnFailure(..) 

If we change from PerStoriesWebDriverSteps to PerScenarioWebDriverSteps, then we have a problem. PerScenarioWebDriverSteps could conceivable drop the reference to WebDriver after closing it, and cause WebDriverScreenshotOnFailure to fail when it's needing to leap into action. 

The reproduction involved making steps fail, and making the PerStoriesWebDriverSteps to PerScenarioWebDriverSteps change.","non-feature containing"
"@AfterStories is run before all stories have finished. To reproduce, Go to tutorial/etsy-spring 

# For either 'stable' profile or the main one, change core to 3.5-beta-3 
# Run that, note the existence of ""WebDriver has not been found for this thread"" exception in the log, and shortened run. 
# For either 'stable' profile or the main one, change core to 3.5-beta-2 (the release before) 
# Run that, note the exception in (2) is not seen. 

Thus the bug/regression was introduced between the the 3.5-beta-2 and 3.5-beta-3 releases of core. 

Note you will have to comment out some of LifecycleSteps.java to do this experiment.","non-feature containing"
"@AfterStory method is not invoked is step parametrisation fails I've attached a stripped-down example to demonstrate the problem. Notice that in the failure case the parameter in the table is lower-cased causing it to mis-match the parameter in the scenario which is camel-cased. 

My original email for context: 
One of the testers accidentally checked-in a partial change list, causing JBehave to throw RunningStoriesFailedException and StoryResourceNotFound exceptions. In and of itself, this isn't a big deal. However, we are calling webDriver.close() in @AfterStory (this closes the browser window). In the case of a RuntimeException, I doesn't look like @AfterStory is called, which leaves the browser running. Since our tests need to share a profile (and only one instance of the profile may be run at a time), this causes future tests to hang until the browser is closed manually. In a Continuous Integration environment, this is non-trivial. 

My Question: 
In the case that JBehave throws a RuntimeException, is there a way to trap it so that we can close down the browser? 

Mauro's Response: 
OTOH all exceptions (in fact throwables) should be caught. Could you 
create a sample project reproducing problem and attached it a jira issue? 

Please try against latest 3.0-beta-12 which has just been cut.","non-feature containing"
"@And annotation The requirement and business analysts at my company are writing user stories using the 'And' parameter.  It would be very very useful if you could implement this annotation.","feature containing"
"@AsParameters tables are not formatted Custom type parameter List is not formatted as html table, only as plain string (e.g.: |cell1|cell2|). 

For example: 
@AsParameters 
class SampleParameterClass { 
.. 
} 

@Given 
public void sampleGiven(List<SampleParameterClass> params) { 
.. 
} 

Would result a non formatted table. 

I think the problem is in the StepCreator#isTable method, because the input Type is a List, but List.class.isAssignatleFrom(ExamplesTable.class) is not true, but it is a table! 

Workaround is to replace List<SampleParameterClass> to ExamplesTable parameter in your method and call the getRowAs(SampleParameterClass.class) on the ExamplesTable.","non-feature containing"
"@Before/AfterStories executions that have failed should be highlighted in red in the reports.hml entries These are executions that are not bound to scenarios. The ""failed"" status in the reports.html should be triggered by either failed scenarios or failed steps.","feature containing"
"@BeforeScenario and @AfterScenario As a developer, I want to be able to reset my state after each scenario in a multi-scenario story so that I can make my scenarios independent.","feature containing"
