summary,type
PrintingStepMonitor	jbehave reports import to hudson xunit error conversion error error to convert a file not found hi i know about some similar tasks jbehave but i think this does not resolve my problem in my test project see attachment i added a story ist produkt in bestand story with givenstories the report xml for that story is currupted because end tags are missing scenario story that failure takes place with version beta and beta i think it is realy possible that i doing something wrong with the configuration src test java jbehave config traderembedderrunner if it is tell me pleace how i change it my hudson config jbehave hudson plugin beta xunit thanks for your help best regards sven sch fer,Bug
build xml may not work due to user rights and can change users ant home lib hi the shipped build xml of jbehave has targets setup and copy dependencies the second depends on the first but under certain circumstances the setup task may fail which will make the copy dependencies fail for example if someone has a globally installed ant version in case of ubuntu apt get install ant desktop jbehave lib ant buildfile home zsolt desktop jbehave lib build xml setup copy copying file to usr share ant lib build failed home zsolt desktop jbehave lib build xml failed to copy home zsolt desktop jbehave lib maven ant tasks jar to usr share ant lib maven ant tasks jar due to java io filenotfoundexception usr share ant lib maven ant tasks jar permission denied additionally i do n't really like that the setup tasks changes the content of my ant home lib folder because i might have the latest version currently of maven ant tasks for some reasons but the build xml of jbehave removes it and replaces it with an older version after removing the dependency between the setup and copy dependencies tasks i was able to download the libraries of jbehave cheers zsolt,Bug
stack traces should be compressible in printed output reflection has lines that do n't need to be in a stack for a qa engineer to debug with groovy has different fragments of stack to lines each that do n't need to be in a stack for a qa engineer to debug with the compression behaviour off by default should be configurable via a boolean flag in the storyreporterbuilder ,Improvement
show as pending in reports view scenarios and stories that contain pending steps or no steps as suggested by jonathan woods on user list it would be useful if i stories with no steps were reported as pending and their constituent scenarios too ii stories with any pending steps were reported as pending and their constituent scenarios too iii a run with any pending stories was itself reported as pending even if it was also regarded as successful when i say ' reported as ' i mean in the kind of end result you can see at target jbehave view reports html in jbehave trader example i tried adding a new story alongside the existing test stories and of course it was reported but as successful only nothing to indicate there 's no implementation as suggested in i above this kind of behaviour would serve as a flag to keep the implementer honest and maintain the flow of top down development you 've not implemented x if you 've not implemented something x depends on it would help keep story development and implementation in synch if i make a modification to a story or create a whole new story and jbehave can tell me everywhere that implementation is pending that 's great ,Improvement
springstoryreporterbuilder does not expose all properties in storyreporterbuilder here is a patch to start to fix it i was unsure on other properties ,Improvement
initialisation errors in remotewebdriverprovider are not being reported errors in initialize method in remotewebdriverprovider e g due to auth failure in saucewebdriverprovider are not being reported added remotewebdriverprovidertest to verify behaviour the missing url should lead to a runningstoriesfailed exception in the embedder ,Bug
storymaps could link back to story source or colored htmlified story output refer ca nt click the story name to go anywhere ,Improvement
crossreference should allow output of json or xml data per completed story and to write to only format instead of writing the cross reference xml and json at the end of the suite write it once per story completion of course this should be configurable with the default as is at the end of the suite secondarily have a configuration option that allows a choice of xml or json or both rather than doing both as at present ,Improvement
add crossreference report as contributed by the dallas geeknight folks a xref json and xml data report that can be consumed by different views ,New Feature
error in webdriverprovider initialize method ignored due to npe in storyrunner noformat new webdriverprovider public void initialize throw new runtimeexception or error or something noformat does not get reported it 's consumed because of a later npe the npe is in storyrunner concerning member variable ' reporter ' which is not set before use in this situation ,Bug
