summary,type
incorrect default cron expression for snapshots repository it is   which is not a valid value - it should probably be the same as for releases,Bug
"Default configuration does not proxy the central repo - Failed pre-download policies Testing the fix for MRM-...

rm -rf $M_REPOorgapachemavenpluginsmaven-clean-plugin
cd pathtoproject
mvn clean

I get the usual ...could not be found or no valid version... message.  In the Archiva logs

jvm     | -- , SocketListener- INFO  org.apache.maven.archiva.proxy.RepositoryProxyConnectorsdefault  - Failed pre-download policies -C${appserver.home}repositoriesinternalorgapachemavenpluginsmaven-clean-pluginmaven-metadata.xml

There are no whitelist patterns for the internal - central proxy connector.  We should ship with configuration that actually makes it proxy.  Adding a whitelist pattern of """" seems to work.

Should an absence of whitelist patterns mean proxy everything",Bug
"MySQL Specified key was too long; max key length is  bytes When starting up archiva on a MySQL Database. the following error is seen.

{code}
Caused by javax.jdo.JDODataStoreException An exception was thrown while addingvalidating classes  Specified key was too long; max key length is  bytes
com.mysql.jdbc.exceptions.MySQLSyntaxErrorException Specified key was too long; max key length is  bytes
        at com.mysql.jdbc.SQLError.createSQLExceptionSQLError.java
        at com.mysql.jdbc.MysqlIO.checkErrorPacketMysqlIO.java
        at com.mysql.jdbc.MysqlIO.sendCommandMysqlIO.java
        at com.mysql.jdbc.MysqlIO.sqlQueryDirectMysqlIO.java
        at com.mysql.jdbc.Connection.execSQLConnection.java
        at com.mysql.jdbc.Connection.execSQLConnection.java
        at com.mysql.jdbc.Statement.executeStatement.java
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatementAbstractTable.java
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatementListAbstractTable.java
        at org.jpox.store.rdbms.table.AbstractTable.createAbstractTable.java
        at org.jpox.store.rdbms.table.AbstractTable.existsAbstractTable.java
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.performTablesValidationRDBMSManager.java
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.addClassTablesAndValidateRDBMSManager.java
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.runRDBMSManager.java
        at org.jpox.store.rdbms.RDBMSManager$MgmtTransaction.executeRDBMSManager.java
        at org.jpox.store.rdbms.RDBMSManager.addClassesRDBMSManager.java
        at org.jpox.store.rdbms.RDBMSManager.addClassRDBMSManager.java
        at org.jpox.AbstractPersistenceManager.newObjectIdInstanceAbstractPersistenceManager.java
        at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectByIdJdoAccess.java
        at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectByIdJdoAccess.java
        at org.apache.maven.archiva.database.jdo.JdoRepositoryDAO.getRepositoryJdoRepositoryDAO.java
        at org.apache.maven.archiva.web.startup.ConfigurationSynchronization.synchConfigurationConfigurationSynchronization.java
        at org.apache.maven.archiva.web.startup.ConfigurationSynchronization.initializeConfigurationSynchronization.java
        at org.codehaus.plexus.personality.plexus.lifecycle.phase.InitializePhase.executeInitializePhase.java
{code}",Bug
"Unable to create a ""snapshot only"" repository. - Create or edit any repository
- Uncheck the ""Releases Included""
- submit

 The repository ""Releases Included"" always stays to true.",Bug
"properties in pom are not resolved at least while browsing I extensively use properties in pom.xml see attached one.

But Archiva does not resolve pom configuration. When I browse my project I see not resolved values.

Attached mentioned projects pom.xml and screenshot of browse page.
",Bug
"Error with artifacts that do not have a pom.xml file When trying to download an artifact with no pom for instance xml-security  xmlsec  maven fails with an error. When not using Archiva, maven does not fail. it only shows a warning.

here is the stack trace with archiva. You will need to modify the pom.xml file to point to your archiva server  port for this to work.

{code}
 Error stacktraces are turned on.
INFO Scanning for projects...
INFO -------------------------------------------------------------------------
---
INFO Building Aplicacion xxx
INFO    task-segment compile
INFO -------------------------------------------------------------------------
---
INFO resourcesresources
INFO Using default encoding to copy filtered resources.
Downloading httptrn-esvarchivarepositoryinternalxml-securityxmlse
c..xmlsec-...pom
INFO ------------------------------------------------------------------------
ERROR BUILD ERROR
INFO ------------------------------------------------------------------------
INFO Error building POM may not be this projects POM.


Project ID xml-securityxmlsec

Reason Error getting POM for xml-securityxmlsec from the repository Error t
ransferring file
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots



INFO ------------------------------------------------------------------------
INFO Trace
org.apache.maven.lifecycle.LifecycleExecutionException Unable to get dependency
 information Unable to read the metadata file for artifact xml-securityxmlsec
jar Error getting POM for xml-securityxmlsec from the repository Error tr
ansferring file
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots

  xml-securityxmlsecjar..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots
Path to dependency
         com.foo.barbar-webwar..-SNAPSHOT


        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalsDefa
ultLifecycleExecutor.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLi
fecycleDefaultLifecycleExecutor.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalDefau
ltLifecycleExecutor.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalAndHan
dleFailuresDefaultLifecycleExecutor.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeTaskSegmen
tsDefaultLifecycleExecutor.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeDefaultLi
fecycleExecutor.java
        at org.apache.maven.DefaultMaven.doExecuteDefaultMaven.java
        at org.apache.maven.DefaultMaven.executeDefaultMaven.java
        at org.apache.maven.cli.MavenCli.mainMavenCli.java
        at sun.reflect.NativeMethodAccessorImpl.invokeNative Method
        at sun.reflect.NativeMethodAccessorImpl.invokeNativeMethodAccessorImpl.
java
        at sun.reflect.DelegatingMethodAccessorImpl.invokeDelegatingMethodAcces
sorImpl.java
        at java.lang.reflect.Method.invokeMethod.java
        at org.codehaus.classworlds.Launcher.launchEnhancedLauncher.java
        at org.codehaus.classworlds.Launcher.launchLauncher.java
        at org.codehaus.classworlds.Launcher.mainWithExitCodeLauncher.java

        at org.codehaus.classworlds.Launcher.mainLauncher.java
Caused by org.apache.maven.artifact.resolver.ArtifactResolutionException Unabl
e to get dependency information Unable to read the metadata file for artifact 
xml-securityxmlsecjar Error getting POM for xml-securityxmlsec from the r
epository Error transferring file
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots

  xml-securityxmlsecjar..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots
Path to dependency
         com.foo.barbar-webwar..-SNAPSHOT


        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.recurseD
efaultArtifactCollector.java
        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.collectD
efaultArtifactCollector.java
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitivelyDefaultArtifactResolver.java
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitivelyDefaultArtifactResolver.java
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitivelyDefaultArtifactResolver.java
        at org.apache.maven.plugin.DefaultPluginManager.resolveTransitiveDepende
nciesDefaultPluginManager.java
        at org.apache.maven.plugin.DefaultPluginManager.executeMojoDefaultPlugi
nManager.java
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalsDefa
ultLifecycleExecutor.java
        ...  more
Caused by org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException
 Unable to read the metadata file for artifact xml-securityxmlsecjar Error
 getting POM for xml-securityxmlsec from the repository Error transferring f
ile
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots

        at org.apache.maven.project.artifact.MavenMetadataSource.retrieveMavenM
etadataSource.java
        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.recurseD
efaultArtifactCollector.java
        ...  more
Caused by org.apache.maven.project.ProjectBuildingException Error getting POM
for xml-securityxmlsec from the repository Error transferring file
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots

        at org.apache.maven.project.DefaultMavenProjectBuilder.findModelFromRepo
sitoryDefaultMavenProjectBuilder.java
        at org.apache.maven.project.DefaultMavenProjectBuilder.buildFromReposito
ryDefaultMavenProjectBuilder.java
        at org.apache.maven.project.artifact.MavenMetadataSource.retrieveMavenM
etadataSource.java
        ...  more
Caused by org.apache.maven.artifact.resolver.ArtifactResolutionException Error
 transferring file
  xml-securityxmlsecpom..

from the specified remote repositories
  central httptrn-esvarchivarepositoryinternal,
  internal-snapshot httptrn-esvarchivarepositorysnapshots

        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveDe
faultArtifactResolver.java
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveDe
faultArtifactResolver.java
        at org.apache.maven.project.DefaultMavenProjectBuilder.findModelFromRepo
sitoryDefaultMavenProjectBuilder.java
        ...  more
Caused by org.apache.maven.wagon.TransferFailedException Error transferring fi
le
        at org.apache.maven.wagon.providers.http.LightweightHttpWagon.fillInputD
ataLightweightHttpWagon.java
        at org.apache.maven.wagon.StreamWagon.getStreamWagon.java
        at org.apache.maven.artifact.manager.DefaultWagonManager.getRemoteFileD
efaultWagonManager.java
        at org.apache.maven.artifact.manager.DefaultWagonManager.getArtifactDef
aultWagonManager.java
        at org.apache.maven.artifact.manager.DefaultWagonManager.getArtifactDef
aultWagonManager.java
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveDe
faultArtifactResolver.java
        ...  more
Caused by java.io.IOException Server returned HTTP response code  for URL
 httptrn-esvarchivarepositoryinternalxml-securityxmlsec..xmls
ec-...pom
        at sun.net.www.protocol.http.HttpURLConnection.getInputStreamHttpURLCon
nection.java
        at org.apache.maven.wagon.providers.http.LightweightHttpWagon.fillInputD
ataLightweightHttpWagon.java
        ...  more
INFO ------------------------------------------------------------------------
INFO Total time  second
INFO Finished at Tue Jul   GMT- 
INFO Final Memory MM
INFO ------------------------------------------------------------------------
{code}

",Bug
"javadoc jar is listed as just jar in the download box go to an artifact that has an attached javadoc jar - you will notice that it is described as ""Jar"", not ""Javadoc""",Bug
"current configuration code is too likely to complain about multiple sources those with alpha- are likely to have config in .marchiva.xml.

But the default is to distribute and work with ${appserver.base}confarchiva.xml

This will complain whenever saving by default. I need to review the best distribution situation.",Bug
"Downloaded artifacts are stored in incorrect archiva-managed repository I have added a new local directory as archiva-managed repository with id ""repo-trax"".
Although no proxy connector has been setup for this new archiva-managed repository, downloaded artifacts seem to be stored in this repository instead of the default ""internal"" repository.

The only proxy connector configuration is the one that comes by default ""internal"" connected to dev.java.net and repo.maven.org.",Bug
"repository purge consumer should check that it is running first, and if it consumes an artifact it should prevent other consumers from running this is to prevent the indexdatabase getting inconsistent if it scans an artifact for the first time and decides to delete it",Improvement
